Period;Day_type;NightZone;DayZone;Home_Category;Activity_Category;Social-professional groups;Volume
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Activity_Zone_Worker;NR;117
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Home_Zone_Worker;NR;116
202002;JO;Haut-Katanga;Lualaba;Home_Zone_Resident;Home_Zone_Worker;NR;852
202002;JO;Haut-Lomami;Haut-Lomami;4;4;NR;39
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Outside_Worker;NR;576
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Home_Activity_Zone_Worker;NR;309
202002;JO;Haut-Lomami;Haut-Lomami;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;1235
202002;JO;Haut-Lomami;Inconnue;Outside_Resident;Outside_Worker;NR;229
202002;JO;Haut-Lomami;Inconnue;Outside_Resident;Home_Zone_Worker;NR;117
202002;JO;Haut-Lomami;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;155
202002;JO;Haut-Uele;Haut-Uele;Outside_Resident;Outside_Worker;NR;114
202002;JO;Haut-Uele;Haut-Uele;Outside_Resident;Home_Activity_Zone_Worker;NR;76
202002;JO;Haut-Uele;Inconnue;Outside_Resident;Outside_Worker;NR;39
202002;JO;Haut-Uele;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;38
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Outside_Worker;NR;813
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Activity_Zone_Worker;NR;234
202002;JO;Inconnue;Bas-Uele;Activity_Zone_Resident;Activity_Zone_Worker;NR;114
202002;JO;Inconnue;Equateur;4;Outside_Worker;NR;39
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;NR;1402
202002;JO;Inconnue;Equateur;Outside_Resident;Activity_Zone_Worker;NR;270
202002;JO;Inconnue;Equateur;Activity_Zone_Resident;Activity_Zone_Worker;NR;346
202002;JO;Inconnue;Haut-Katanga;4;4;NR;1163
202002;JO;Inconnue;Haut-Katanga;4;Activity_Zone_Worker;NR;154
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;4;NR;1039
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;NR;138700
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;NR;294901
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Outside_Worker;NR;2255
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;NR;293412
202002;JO;Inconnue;Haut-Lomami;4;4;NR;231
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Outside_Worker;NR;5035
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Activity_Zone_Worker;NR;780
202002;JO;Inconnue;Haut-Lomami;Activity_Zone_Resident;Activity_Zone_Worker;NR;776
202002;JO;Inconnue;Haut-Uele;Outside_Resident;Outside_Worker;NR;1010
202002;JO;Inconnue;Haut-Uele;Outside_Resident;Activity_Zone_Worker;NR;194
202002;JO;Inconnue;Inconnue;4;4;NR;122601
202002;JO;Inconnue;Inconnue;4;Outside_Worker;NR;14259
202002;JO;Inconnue;Inconnue;Outside_Resident;4;NR;73286
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;NR;254035
202002;JO;Inconnue;Ituri;Outside_Resident;Outside_Worker;NR;2831
202002;JO;Inconnue;Ituri;Outside_Resident;Activity_Zone_Worker;NR;2571
202002;JO;Inconnue;Ituri;Activity_Zone_Resident;Outside_Worker;NR;191
202002;JO;Inconnue;Ituri;Activity_Zone_Resident;Activity_Zone_Worker;NR;1395
202002;JO;Inconnue;Kasai;4;4;NR;39
202002;JO;Inconnue;Kasai;Outside_Resident;Outside_Worker;NR;5859
202002;JO;Inconnue;Kasai;Outside_Resident;Activity_Zone_Worker;NR;1442
202002;JO;Inconnue;Kasai;Activity_Zone_Resident;Outside_Worker;NR;116
202002;JO;Inconnue;Kasai;Activity_Zone_Resident;Activity_Zone_Worker;NR;694
202002;JO;Inconnue;Kasai-Central;4;4;NR;39
202002;JO;Inconnue;Kasai-Central;4;Activity_Zone_Worker;NR;39
202002;JO;Inconnue;Kasai-Central;Outside_Resident;4;NR;39
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Outside_Worker;NR;6490
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Activity_Zone_Worker;NR;1631
202002;JO;Inconnue;Kasai-Central;Activity_Zone_Resident;Activity_Zone_Worker;NR;1323
202002;JO;Inconnue;Kasai-Oriental;4;4;NR;114
202002;JO;Inconnue;Kasai-Oriental;4;Activity_Zone_Worker;NR;37
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;NR;26774
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Activity_Zone_Worker;NR;4876
202002;JO;Inconnue;Kasai-Oriental;Activity_Zone_Resident;Outside_Worker;NR;38
202002;JO;Inconnue;Kasai-Oriental;Activity_Zone_Resident;Activity_Zone_Worker;NR;2145
202002;JO;Inconnue;Kinshasa;4;4;NR;6521
202002;JO;Inconnue;Kinshasa;4;Outside_Worker;NR;388
202002;JO;Inconnue;Kinshasa;4;Activity_Zone_Worker;NR;617
202002;JO;Inconnue;Kinshasa;Outside_Resident;4;NR;2687
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;NR;145614
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;NR;67372
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;4;NR;77
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Outside_Worker;NR;1787
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;NR;84292
202002;JO;Inconnue;Kongo-Central;4;4;NR;5379
202002;JO;Inconnue;Kongo-Central;4;Outside_Worker;NR;154
202002;JO;Inconnue;Kongo-Central;4;Activity_Zone_Worker;NR;2384
202002;JO;Inconnue;Kongo-Central;Outside_Resident;4;NR;1556
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;NR;196997
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;NR;202235
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;4;NR;194
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Outside_Worker;NR;8741
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;NR;496443
202002;JO;Inconnue;Kwango;4;4;NR;113
202002;JO;Inconnue;Kwango;4;Outside_Worker;NR;39
202002;JO;Inconnue;Kwango;Outside_Resident;Outside_Worker;NR;818
202002;JO;Inconnue;Kwango;Outside_Resident;Activity_Zone_Worker;NR;932
202002;JO;Inconnue;Kwango;Activity_Zone_Resident;Outside_Worker;NR;39
202002;JO;Inconnue;Kwango;Activity_Zone_Resident;Activity_Zone_Worker;NR;192
202002;JO;Inconnue;Kwilu;4;4;NR;384
202002;JO;Inconnue;Kwilu;Outside_Resident;4;NR;77
202002;JO;Inconnue;Kwilu;Outside_Resident;Outside_Worker;NR;4474
202002;JO;Inconnue;Kwilu;Outside_Resident;Activity_Zone_Worker;NR;3162
202002;JO;Inconnue;Kwilu;Activity_Zone_Resident;Activity_Zone_Worker;NR;269
202002;JO;Inconnue;Lomami;4;4;NR;38
202002;JO;Inconnue;Lomami;Outside_Resident;Outside_Worker;NR;8154
202002;JO;Inconnue;Lomami;Outside_Resident;Activity_Zone_Worker;NR;3319
202002;JO;Inconnue;Lomami;Activity_Zone_Resident;Activity_Zone_Worker;NR;1833
202002;JO;Inconnue;Lualaba;4;4;NR;930
202002;JO;Inconnue;Lualaba;4;Outside_Worker;NR;37
202002;JO;Inconnue;Lualaba;4;Activity_Zone_Worker;NR;38
202002;JO;Inconnue;Lualaba;Outside_Resident;4;NR;1747
202002;JO;Inconnue;Lualaba;Outside_Resident;Outside_Worker;NR;32901
202002;JO;Inconnue;Lualaba;Outside_Resident;Activity_Zone_Worker;NR;20841
202002;JO;Inconnue;Lualaba;Activity_Zone_Resident;4;NR;152
202002;JO;Inconnue;Lualaba;Activity_Zone_Resident;Outside_Worker;NR;583
202002;JO;Inconnue;Lualaba;Activity_Zone_Resident;Activity_Zone_Worker;NR;25102
202002;JO;Inconnue;Mai-Ndombe;Outside_Resident;Outside_Worker;NR;769
202002;JO;Inconnue;Mai-Ndombe;Outside_Resident;Activity_Zone_Worker;NR;116
202002;JO;Inconnue;Maniema;4;4;NR;37
202002;JO;Inconnue;Maniema;Outside_Resident;Outside_Worker;NR;2165
202002;JO;Inconnue;Maniema;Outside_Resident;Activity_Zone_Worker;NR;2426
202002;JO;Inconnue;Maniema;Activity_Zone_Resident;Activity_Zone_Worker;NR;501
202002;JO;Inconnue;Mongala;Outside_Resident;Outside_Worker;NR;1472
202002;JO;Inconnue;Mongala;Outside_Resident;Activity_Zone_Worker;NR;426
202002;JO;Inconnue;Mongala;Activity_Zone_Resident;Activity_Zone_Worker;NR;78
202002;JO;Inconnue;Nord-Kivu;4;4;NR;191
202002;JO;Inconnue;Nord-Kivu;4;Activity_Zone_Worker;NR;77
202002;JO;Inconnue;Nord-Kivu;Outside_Resident;4;NR;346
202002;JO;Inconnue;Nord-Kivu;Outside_Resident;Outside_Worker;NR;43669
202002;JO;Inconnue;Nord-Kivu;Outside_Resident;Activity_Zone_Worker;NR;32734
202002;JO;Inconnue;Nord-Kivu;Activity_Zone_Resident;Outside_Worker;NR;348
202002;JO;Inconnue;Nord-Kivu;Activity_Zone_Resident;Activity_Zone_Worker;NR;13363
202002;JO;Inconnue;Nord-Ubangi;Outside_Resident;Outside_Worker;NR;500
202002;JO;Inconnue;Nord-Ubangi;Outside_Resident;Activity_Zone_Worker;NR;616
202002;JO;Inconnue;Nord-Ubangi;Activity_Zone_Resident;Activity_Zone_Worker;NR;115
202002;JO;Inconnue;Sankuru;Outside_Resident;Outside_Worker;NR;1001
202002;JO;Inconnue;Sankuru;Outside_Resident;Activity_Zone_Worker;NR;1167
202002;JO;Inconnue;Sankuru;Activity_Zone_Resident;Activity_Zone_Worker;NR;153
202002;JO;Inconnue;Sud-Kivu;4;Outside_Worker;NR;78
202002;JO;Inconnue;Sud-Kivu;4;Activity_Zone_Worker;NR;38
202002;JO;Inconnue;Sud-Kivu;Outside_Resident;4;NR;154
202002;JO;Inconnue;Sud-Kivu;Outside_Resident;Outside_Worker;NR;37416
202002;JO;Inconnue;Sud-Kivu;Outside_Resident;Activity_Zone_Worker;NR;20683
202002;JO;Inconnue;Sud-Kivu;Activity_Zone_Resident;Outside_Worker;NR;232
202002;JO;Inconnue;Sud-Kivu;Activity_Zone_Resident;Activity_Zone_Worker;NR;8980
202002;JO;Inconnue;Sud-Ubangi;Outside_Resident;4;NR;115
202002;JO;Inconnue;Sud-Ubangi;Outside_Resident;Outside_Worker;NR;2611
202002;JO;Inconnue;Sud-Ubangi;Outside_Resident;Activity_Zone_Worker;NR;1472
202002;JO;Inconnue;Sud-Ubangi;Activity_Zone_Resident;Activity_Zone_Worker;NR;308
202002;JO;Inconnue;Tanganyika;Outside_Resident;4;NR;79
202002;JO;Inconnue;Tanganyika;Outside_Resident;Outside_Worker;NR;2845
202002;JO;Inconnue;Tanganyika;Outside_Resident;Activity_Zone_Worker;NR;1206
202002;JO;Inconnue;Tanganyika;Activity_Zone_Resident;Activity_Zone_Worker;NR;232
202002;JO;Inconnue;Tshopo;Outside_Resident;Outside_Worker;NR;14416
202002;JO;Inconnue;Tshopo;Outside_Resident;Activity_Zone_Worker;NR;6851
202002;JO;Inconnue;Tshopo;Activity_Zone_Resident;Outside_Worker;NR;79
202002;JO;Inconnue;Tshopo;Activity_Zone_Resident;Activity_Zone_Worker;NR;1121
202002;JO;Inconnue;Tshuapa;Outside_Resident;Outside_Worker;NR;771
202002;JO;Inconnue;Tshuapa;Outside_Resident;Activity_Zone_Worker;NR;1636
202002;JO;Inconnue;Tshuapa;Activity_Zone_Resident;Activity_Zone_Worker;NR;155
202002;JO;Ituri;Inconnue;Outside_Resident;Outside_Worker;NR;423
202002;JO;Ituri;Inconnue;Home_Zone_Resident;Outside_Worker;NR;196
202002;JO;Ituri;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;465
202002;JO;Ituri;Ituri;4;4;NR;39
202002;JO;Ituri;Ituri;Outside_Resident;Outside_Worker;NR;740
202002;JO;Ituri;Ituri;Outside_Resident;Home_Activity_Zone_Worker;NR;504
202002;JO;Ituri;Ituri;Home_Activity_Zone_Resident;Outside_Worker;NR;115
202002;JO;Ituri;Ituri;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;4011
202002;JO;Ituri;Nord-Kivu;Activity_Zone_Resident;Activity_Zone_Worker;NR;39
202002;JO;Kasai;Inconnue;4;4;NR;38
202002;JO;Kasai;Inconnue;Outside_Resident;Outside_Worker;NR;269
202002;JO;Kasai;Inconnue;Home_Zone_Resident;Outside_Worker;NR;118
202002;JO;Kasai;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;152
202002;JO;Kasai;Kasai;4;4;NR;116
202002;JO;Kasai;Kasai;Outside_Resident;Outside_Worker;NR;850
202002;JO;Kasai;Kasai;Outside_Resident;Home_Activity_Zone_Worker;NR;232
202002;JO;Kasai;Kasai;Home_Activity_Zone_Resident;Outside_Worker;NR;79
202002;JO;Kasai;Kasai;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;654
202002;JO;Kasai-Central;Inconnue;Outside_Resident;Outside_Worker;NR;426
202002;JO;Kasai-Central;Inconnue;Outside_Resident;Home_Zone_Worker;NR;78
202002;JO;Kasai-Central;Inconnue;Home_Zone_Resident;Outside_Worker;NR;77
202002;JO;Kasai-Central;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;268
202002;JO;Kasai-Central;Kasai-Central;4;4;NR;309
202002;JO;Kasai-Central;Kasai-Central;Outside_Resident;Outside_Worker;NR;931
202002;JO;Kasai-Central;Kasai-Central;Outside_Resident;Home_Activity_Zone_Worker;NR;617
202002;JO;Kasai-Central;Kasai-Central;Home_Activity_Zone_Resident;4;NR;77
202002;JO;Kasai-Central;Kasai-Central;Home_Activity_Zone_Resident;Outside_Worker;NR;76
202002;JO;Kasai-Central;Kasai-Central;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;2181
202002;JO;Kasai-Central;Kasai-Oriental;Home_Zone_Resident;Home_Zone_Worker;NR;75
202002;JO;Kasai-Oriental;Inconnue;4;4;NR;77
202002;JO;Kasai-Oriental;Inconnue;Outside_Resident;Outside_Worker;NR;1282
202002;JO;Kasai-Oriental;Inconnue;Outside_Resident;Home_Zone_Worker;NR;76
202002;JO;Kasai-Oriental;Inconnue;Home_Zone_Resident;Outside_Worker;NR;38
202002;JO;Kasai-Oriental;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;1162
202002;JO;Kasai-Oriental;Kasai-Central;Activity_Zone_Resident;Activity_Zone_Worker;NR;38
202002;JO;Kasai-Oriental;Kasai-Central;Home_Zone_Resident;Home_Zone_Worker;NR;39
202002;JO;Kasai-Oriental;Kasai-Oriental;4;4;NR;312
202002;JO;Kasai-Oriental;Kasai-Oriental;Outside_Resident;Outside_Worker;NR;2527
202002;JO;Kasai-Oriental;Kasai-Oriental;Outside_Resident;Home_Activity_Zone_Worker;NR;1237
202002;JO;Kasai-Oriental;Kasai-Oriental;Home_Activity_Zone_Resident;4;NR;38
202002;JO;Kasai-Oriental;Kasai-Oriental;Home_Activity_Zone_Resident;Outside_Worker;NR;39
202002;JO;Kasai-Oriental;Kasai-Oriental;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;8666
202002;JO;Kasai-Oriental;Lomami;Home_Zone_Resident;Home_Zone_Worker;NR;38
202002;JO;Kinshasa;Equateur;Home_Zone_Resident;Home_Zone_Worker;NR;38
202002;JO;Kinshasa;Inconnue;4;4;NR;694
202002;JO;Kinshasa;Inconnue;4;Outside_Worker;NR;78
202002;JO;Kinshasa;Inconnue;4;Home_Zone_Worker;NR;76
202002;JO;Kinshasa;Inconnue;Outside_Resident;4;NR;233
202002;JO;Kinshasa;Inconnue;Outside_Resident;Outside_Worker;NR;10183
202002;JO;Kinshasa;Inconnue;Outside_Resident;Home_Zone_Worker;NR;2105
202002;JO;Kinshasa;Inconnue;Home_Zone_Resident;4;NR;194
202002;JO;Kinshasa;Inconnue;Home_Zone_Resident;Outside_Worker;NR;2293
202002;JO;Kinshasa;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;19529
202002;JO;Kinshasa;Kasai-Central;Home_Zone_Resident;Home_Zone_Worker;NR;78
202002;JO;Kinshasa;Kasai-Oriental;Home_Zone_Resident;Home_Zone_Worker;NR;77
202002;JO;Kinshasa;Kinshasa;4;4;NR;40385
202002;JO;Kinshasa;Kinshasa;4;Outside_Worker;NR;312
202002;JO;Kinshasa;Kinshasa;4;Home_Activity_Zone_Worker;NR;3274
202002;JO;Kinshasa;Kinshasa;Outside_Resident;4;NR;2838
202002;JO;Kinshasa;Kinshasa;Outside_Resident;Outside_Worker;NR;46643
202002;JO;Kinshasa;Kinshasa;Outside_Resident;Home_Activity_Zone_Worker;NR;25423
202002;JO;Kinshasa;Kinshasa;Home_Activity_Zone_Resident;4;NR;2961
202002;JO;Kinshasa;Kinshasa;Home_Activity_Zone_Resident;Outside_Worker;NR;3861
202002;JO;Kinshasa;Kinshasa;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;450118
202002;JO;Kinshasa;Kongo-Central;4;4;NR;38
202002;JO;Kinshasa;Kongo-Central;Outside_Resident;4;NR;38
202002;JO;Kinshasa;Kongo-Central;Outside_Resident;Outside_Worker;NR;694
202002;JO;Kinshasa;Kongo-Central;Outside_Resident;Activity_Zone_Worker;NR;422
202002;JO;Kinshasa;Kongo-Central;Outside_Resident;Home_Zone_Worker;NR;228
202002;JO;Kinshasa;Kongo-Central;Activity_Zone_Resident;Outside_Worker;NR;38
202002;JO;Kinshasa;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;NR;3784
202002;JO;Kinshasa;Kongo-Central;Home_Zone_Resident;Outside_Worker;NR;38
202002;JO;Kinshasa;Kongo-Central;Home_Zone_Resident;Activity_Zone_Worker;NR;733
202002;JO;Kinshasa;Kongo-Central;Home_Zone_Resident;Home_Zone_Worker;NR;4532
202002;JO;Kinshasa;Kwango;4;4;NR;38
202002;JO;Kinshasa;Kwilu;Home_Zone_Resident;Home_Zone_Worker;NR;38
202002;JO;Kinshasa;Maniema;Outside_Resident;Outside_Worker;NR;38
202002;JO;Kinshasa;Nord-Kivu;4;4;NR;39
202002;JO;Kinshasa;Nord-Kivu;Outside_Resident;Outside_Worker;NR;39
202002;JO;Kinshasa;Nord-Kivu;Outside_Resident;Activity_Zone_Worker;NR;38
202002;JO;Kinshasa;Nord-Kivu;Home_Zone_Resident;Home_Zone_Worker;NR;38
202002;JO;Kongo-Central;Inconnue;4;4;NR;1207
202002;JO;Kongo-Central;Inconnue;4;Outside_Worker;NR;38
202002;JO;Kongo-Central;Inconnue;4;Home_Zone_Worker;NR;193
202002;JO;Kongo-Central;Inconnue;Outside_Resident;4;NR;154
202002;JO;Kongo-Central;Inconnue;Outside_Resident;Outside_Worker;NR;23531
202002;JO;Kongo-Central;Inconnue;Outside_Resident;Home_Zone_Worker;NR;8381
202002;JO;Kongo-Central;Inconnue;Home_Zone_Resident;4;NR;38
202002;JO;Kongo-Central;Inconnue;Home_Zone_Resident;Outside_Worker;NR;13162
202002;JO;Kongo-Central;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;100049
202002;JO;Kongo-Central;Kinshasa;Outside_Resident;Outside_Worker;NR;615
202002;JO;Kongo-Central;Kinshasa;Outside_Resident;Activity_Zone_Worker;NR;78
202002;JO;Kongo-Central;Kinshasa;Outside_Resident;Home_Zone_Worker;NR;76
202002;JO;Kongo-Central;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;NR;347
202002;JO;Kongo-Central;Kinshasa;Home_Zone_Resident;Outside_Worker;NR;192
202002;JO;Kongo-Central;Kinshasa;Home_Zone_Resident;Activity_Zone_Worker;NR;235
202002;JO;Kongo-Central;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;NR;5698
202002;JO;Kongo-Central;Kongo-Central;4;4;NR;27355
202002;JO;Kongo-Central;Kongo-Central;4;Outside_Worker;NR;347
202002;JO;Kongo-Central;Kongo-Central;4;Home_Activity_Zone_Worker;NR;7411
202002;JO;Kongo-Central;Kongo-Central;Outside_Resident;4;NR;1935
202002;JO;Kongo-Central;Kongo-Central;Outside_Resident;Outside_Worker;NR;110566
202002;JO;Kongo-Central;Kongo-Central;Outside_Resident;Home_Activity_Zone_Worker;NR;82170
202002;JO;Kongo-Central;Kongo-Central;Home_Activity_Zone_Resident;4;NR;1871
202002;JO;Kongo-Central;Kongo-Central;Home_Activity_Zone_Resident;Outside_Worker;NR;17183
202002;JO;Kongo-Central;Kongo-Central;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;2331958
202002;JO;Kwango;Inconnue;Outside_Resident;Outside_Worker;NR;75
202002;JO;Kwango;Inconnue;Outside_Resident;Home_Zone_Worker;NR;38
202002;JO;Kwango;Kwango;Outside_Resident;Outside_Worker;NR;153
202002;JO;Kwango;Kwango;Outside_Resident;Home_Activity_Zone_Worker;NR;463
202002;JO;Kwango;Kwango;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;425
202002;JO;Kwilu;Inconnue;4;4;NR;76
202002;JO;Kwilu;Inconnue;Outside_Resident;Outside_Worker;NR;270
202002;JO;Kwilu;Inconnue;Outside_Resident;Home_Zone_Worker;NR;116
202002;JO;Kwilu;Inconnue;Home_Zone_Resident;Outside_Worker;NR;39
202002;JO;Kwilu;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;39
202002;JO;Kwilu;Kwilu;4;4;NR;509
202002;JO;Kwilu;Kwilu;4;Outside_Worker;NR;77
202002;JO;Kwilu;Kwilu;Outside_Resident;4;NR;38
202002;JO;Kwilu;Kwilu;Outside_Resident;Outside_Worker;NR;847
202002;JO;Kwilu;Kwilu;Outside_Resident;Home_Activity_Zone_Worker;NR;774
202002;JO;Kwilu;Kwilu;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;850
202002;JO;Lomami;Inconnue;Outside_Resident;4;NR;38
202002;JO;Lomami;Inconnue;Outside_Resident;Outside_Worker;NR;542
202002;JO;Lomami;Inconnue;Outside_Resident;Home_Zone_Worker;NR;116
202002;JO;Lomami;Inconnue;Home_Zone_Resident;Outside_Worker;NR;38
202002;JO;Lomami;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;935
202002;JO;Lomami;Kasai-Central;Outside_Resident;Outside_Worker;NR;38
202002;JO;Lomami;Kasai-Oriental;Home_Zone_Resident;Home_Zone_Worker;NR;117
202002;JO;Lomami;Lomami;Outside_Resident;4;NR;77
202002;JO;Lomami;Lomami;Outside_Resident;Outside_Worker;NR;1208
202002;JO;Lomami;Lomami;Outside_Resident;Home_Activity_Zone_Worker;NR;737
202002;JO;Lomami;Lomami;Home_Activity_Zone_Resident;4;NR;39
202002;JO;Lomami;Lomami;Home_Activity_Zone_Resident;Outside_Worker;NR;39
202002;JO;Lomami;Lomami;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;5221
202002;JO;Lualaba;Haut-Katanga;Outside_Resident;Outside_Worker;NR;77
202002;JO;Lualaba;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;NR;77
202002;JO;Lualaba;Haut-Katanga;Outside_Resident;Home_Zone_Worker;NR;38
202002;JO;Lualaba;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;NR;232
202002;JO;Lualaba;Haut-Katanga;Home_Zone_Resident;Activity_Zone_Worker;NR;114
202002;JO;Lualaba;Haut-Katanga;Home_Zone_Resident;Home_Zone_Worker;NR;426
202002;JO;Lualaba;Inconnue;4;Outside_Worker;NR;118
202002;JO;Lualaba;Inconnue;Outside_Resident;Outside_Worker;NR;2371
202002;JO;Lualaba;Inconnue;Outside_Resident;Home_Zone_Worker;NR;706
202002;JO;Lualaba;Inconnue;Home_Zone_Resident;4;NR;77
202002;JO;Lualaba;Inconnue;Home_Zone_Resident;Outside_Worker;NR;1396
202002;JO;Lualaba;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;6099
202002;JO;Lualaba;Lualaba;4;4;NR;1944
202002;JO;Lualaba;Lualaba;4;Outside_Worker;NR;39
202002;JO;Lualaba;Lualaba;4;Home_Activity_Zone_Worker;NR;155
202002;JO;Lualaba;Lualaba;Outside_Resident;4;NR;701
