Period;Day_type;NightZone;DayZone;Home_Category;Activity_Category;Age;Volume
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Activity_Zone_Worker;<18;60
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Activity_Zone_Worker;25-34;25
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Activity_Zone_Worker;<18;21
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Home_Zone_Worker;<18;22
202002;JO;Haut-Katanga;Lualaba;Home_Zone_Resident;Home_Zone_Worker;25-34;123
202002;JO;Haut-Katanga;Lualaba;Home_Zone_Resident;Home_Zone_Worker;35-44;23
202002;JO;Haut-Katanga;Lualaba;Home_Zone_Resident;Home_Zone_Worker;<18;165
202002;JO;Haut-Lomami;Haut-Lomami;4;4;25-34;39
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Outside_Worker;18-24;24
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Outside_Worker;25-34;52
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Outside_Worker;<18;106
202002;JO;Haut-Lomami;Haut-Lomami;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;25-34;298
202002;JO;Haut-Lomami;Haut-Lomami;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;<18;43
202002;JO;Haut-Uele;Inconnue;Outside_Resident;Outside_Worker;<18;39
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Outside_Worker;25-34;62
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Outside_Worker;35-44;201
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Outside_Worker;<18;47
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;18-24;43
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;25-34;276
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;35-44;21
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;<18;469
202002;JO;Inconnue;Equateur;Outside_Resident;Activity_Zone_Worker;<18;24
202002;JO;Inconnue;Equateur;Activity_Zone_Resident;Activity_Zone_Worker;<18;27
202002;JO;Inconnue;Haut-Katanga;4;4;25-34;122
202002;JO;Inconnue;Haut-Katanga;4;4;35-44;66
202002;JO;Inconnue;Haut-Katanga;4;4;<18;302
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;4;25-34;126
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;4;35-44;21
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;4;<18;303
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;18-24;18417
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;25-34;32030
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;35-44;17533
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;45-54;9612
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;55-64;4979
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;<18;53710
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Outside_Worker;>65;2363
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;18-24;36392
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;25-34;74762
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;35-44;44536
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;45-54;25619
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;55-64;14213
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;<18;92506
202002;JO;Inconnue;Haut-Katanga;Outside_Resident;Activity_Zone_Worker;>65;6788
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Outside_Worker;18-24;77
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Outside_Worker;25-34;503
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Outside_Worker;35-44;159
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Outside_Worker;<18;768
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;18-24;34808
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;25-34;75088
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;35-44;45854
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;45-54;25703
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;55-64;13727
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;<18;91698
202002;JO;Inconnue;Haut-Katanga;Activity_Zone_Resident;Activity_Zone_Worker;>65;6449
202002;JO;Inconnue;Haut-Lomami;4;4;<18;28
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Outside_Worker;18-24;761
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Outside_Worker;25-34;1173
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Outside_Worker;35-44;575
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Outside_Worker;45-54;305
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Outside_Worker;55-64;77
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Outside_Worker;<18;1676
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Activity_Zone_Worker;18-24;34
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Activity_Zone_Worker;25-34;80
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Activity_Zone_Worker;35-44;26
202002;JO;Inconnue;Haut-Lomami;Outside_Resident;Activity_Zone_Worker;<18;113
202002;JO;Inconnue;Haut-Lomami;Activity_Zone_Resident;Activity_Zone_Worker;25-34;140
202002;JO;Inconnue;Haut-Lomami;Activity_Zone_Resident;Activity_Zone_Worker;<18;25
202002;JO;Inconnue;Haut-Uele;Outside_Resident;Outside_Worker;18-24;73
202002;JO;Inconnue;Haut-Uele;Outside_Resident;Outside_Worker;25-34;187
202002;JO;Inconnue;Haut-Uele;Outside_Resident;Outside_Worker;<18;193
202002;JO;Inconnue;Inconnue;4;4;18-24;16888
202002;JO;Inconnue;Inconnue;4;4;25-34;28817
202002;JO;Inconnue;Inconnue;4;4;35-44;16767
202002;JO;Inconnue;Inconnue;4;4;45-54;10291
202002;JO;Inconnue;Inconnue;4;4;55-64;5058
202002;JO;Inconnue;Inconnue;4;4;<18;42411
202002;JO;Inconnue;Inconnue;4;4;>65;2267
202002;JO;Inconnue;Inconnue;4;Outside_Worker;18-24;2120
202002;JO;Inconnue;Inconnue;4;Outside_Worker;25-34;3327
202002;JO;Inconnue;Inconnue;4;Outside_Worker;35-44;1868
202002;JO;Inconnue;Inconnue;4;Outside_Worker;45-54;1153
202002;JO;Inconnue;Inconnue;4;Outside_Worker;55-64;527
202002;JO;Inconnue;Inconnue;4;Outside_Worker;<18;4913
202002;JO;Inconnue;Inconnue;4;Outside_Worker;>65;80
202002;JO;Inconnue;Inconnue;Outside_Resident;4;18-24;10126
202002;JO;Inconnue;Inconnue;Outside_Resident;4;25-34;17345
202002;JO;Inconnue;Inconnue;Outside_Resident;4;35-44;10286
202002;JO;Inconnue;Inconnue;Outside_Resident;4;45-54;6233
202002;JO;Inconnue;Inconnue;Outside_Resident;4;55-64;3171
202002;JO;Inconnue;Inconnue;Outside_Resident;4;<18;24545
202002;JO;Inconnue;Inconnue;Outside_Resident;4;>65;1516
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;18-24;39459
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;25-34;59009
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;35-44;31503
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;45-54;18570
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;55-64;10049
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;<18;90747
202002;JO;Inconnue;Inconnue;Outside_Resident;Outside_Worker;>65;4626
202002;JO;Inconnue;Ituri;Outside_Resident;Outside_Worker;18-24;320
202002;JO;Inconnue;Ituri;Outside_Resident;Outside_Worker;25-34;685
202002;JO;Inconnue;Ituri;Outside_Resident;Outside_Worker;35-44;316
202002;JO;Inconnue;Ituri;Outside_Resident;Outside_Worker;<18;899
202002;JO;Inconnue;Ituri;Outside_Resident;Activity_Zone_Worker;18-24;215
202002;JO;Inconnue;Ituri;Outside_Resident;Activity_Zone_Worker;25-34;713
202002;JO;Inconnue;Ituri;Outside_Resident;Activity_Zone_Worker;35-44;310
202002;JO;Inconnue;Ituri;Outside_Resident;Activity_Zone_Worker;45-54;27
202002;JO;Inconnue;Ituri;Outside_Resident;Activity_Zone_Worker;<18;626
202002;JO;Inconnue;Ituri;Activity_Zone_Resident;Activity_Zone_Worker;18-24;67
202002;JO;Inconnue;Ituri;Activity_Zone_Resident;Activity_Zone_Worker;25-34;317
202002;JO;Inconnue;Ituri;Activity_Zone_Resident;Activity_Zone_Worker;35-44;45
202002;JO;Inconnue;Ituri;Activity_Zone_Resident;Activity_Zone_Worker;<18;282
202002;JO;Inconnue;Kasai;Outside_Resident;Outside_Worker;18-24;887
202002;JO;Inconnue;Kasai;Outside_Resident;Outside_Worker;25-34;1251
202002;JO;Inconnue;Kasai;Outside_Resident;Outside_Worker;35-44;714
202002;JO;Inconnue;Kasai;Outside_Resident;Outside_Worker;45-54;356
202002;JO;Inconnue;Kasai;Outside_Resident;Outside_Worker;55-64;91
202002;JO;Inconnue;Kasai;Outside_Resident;Outside_Worker;<18;2041
202002;JO;Inconnue;Kasai;Outside_Resident;Activity_Zone_Worker;18-24;121
202002;JO;Inconnue;Kasai;Outside_Resident;Activity_Zone_Worker;25-34;249
202002;JO;Inconnue;Kasai;Outside_Resident;Activity_Zone_Worker;35-44;50
202002;JO;Inconnue;Kasai;Outside_Resident;Activity_Zone_Worker;<18;310
202002;JO;Inconnue;Kasai;Activity_Zone_Resident;Activity_Zone_Worker;25-34;103
202002;JO;Inconnue;Kasai;Activity_Zone_Resident;Activity_Zone_Worker;<18;137
202002;JO;Inconnue;Kasai-Central;4;4;35-44;39
202002;JO;Inconnue;Kasai-Central;4;Activity_Zone_Worker;18-24;32
202002;JO;Inconnue;Kasai-Central;Outside_Resident;4;25-34;21
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Outside_Worker;18-24;1163
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Outside_Worker;25-34;1500
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Outside_Worker;35-44;735
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Outside_Worker;45-54;398
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Outside_Worker;55-64;49
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Outside_Worker;<18;2191
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Activity_Zone_Worker;18-24;151
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Activity_Zone_Worker;25-34;262
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Activity_Zone_Worker;35-44;44
202002;JO;Inconnue;Kasai-Central;Outside_Resident;Activity_Zone_Worker;<18;442
202002;JO;Inconnue;Kasai-Central;Activity_Zone_Resident;Activity_Zone_Worker;18-24;45
202002;JO;Inconnue;Kasai-Central;Activity_Zone_Resident;Activity_Zone_Worker;25-34;193
202002;JO;Inconnue;Kasai-Central;Activity_Zone_Resident;Activity_Zone_Worker;35-44;40
202002;JO;Inconnue;Kasai-Central;Activity_Zone_Resident;Activity_Zone_Worker;<18;330
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;18-24;5079
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;25-34;5193
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;35-44;2829
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;45-54;1835
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;55-64;1030
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;<18;10131
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Outside_Worker;>65;619
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Activity_Zone_Worker;18-24;933
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Activity_Zone_Worker;25-34;932
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Activity_Zone_Worker;35-44;513
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Activity_Zone_Worker;45-54;320
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Activity_Zone_Worker;55-64;75
202002;JO;Inconnue;Kasai-Oriental;Outside_Resident;Activity_Zone_Worker;<18;1506
202002;JO;Inconnue;Kasai-Oriental;Activity_Zone_Resident;Activity_Zone_Worker;18-24;259
202002;JO;Inconnue;Kasai-Oriental;Activity_Zone_Resident;Activity_Zone_Worker;25-34;332
202002;JO;Inconnue;Kasai-Oriental;Activity_Zone_Resident;Activity_Zone_Worker;35-44;106
202002;JO;Inconnue;Kasai-Oriental;Activity_Zone_Resident;Activity_Zone_Worker;45-54;44
202002;JO;Inconnue;Kasai-Oriental;Activity_Zone_Resident;Activity_Zone_Worker;<18;588
202002;JO;Inconnue;Kinshasa;4;4;18-24;654
202002;JO;Inconnue;Kinshasa;4;4;25-34;1538
202002;JO;Inconnue;Kinshasa;4;4;35-44;801
202002;JO;Inconnue;Kinshasa;4;4;45-54;521
202002;JO;Inconnue;Kinshasa;4;4;55-64;193
202002;JO;Inconnue;Kinshasa;4;4;<18;2424
202002;JO;Inconnue;Kinshasa;4;Outside_Worker;18-24;26
202002;JO;Inconnue;Kinshasa;4;Outside_Worker;25-34;53
202002;JO;Inconnue;Kinshasa;4;Outside_Worker;<18;45
202002;JO;Inconnue;Kinshasa;4;Activity_Zone_Worker;25-34;46
202002;JO;Inconnue;Kinshasa;4;Activity_Zone_Worker;35-44;23
202002;JO;Inconnue;Kinshasa;4;Activity_Zone_Worker;55-64;35
202002;JO;Inconnue;Kinshasa;4;Activity_Zone_Worker;<18;139
202002;JO;Inconnue;Kinshasa;Outside_Resident;4;18-24;223
202002;JO;Inconnue;Kinshasa;Outside_Resident;4;25-34;444
202002;JO;Inconnue;Kinshasa;Outside_Resident;4;35-44;370
202002;JO;Inconnue;Kinshasa;Outside_Resident;4;45-54;81
202002;JO;Inconnue;Kinshasa;Outside_Resident;4;<18;926
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;18-24;19001
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;25-34;33146
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;35-44;18869
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;45-54;11983
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;55-64;6037
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;<18;53547
202002;JO;Inconnue;Kinshasa;Outside_Resident;Outside_Worker;>65;2960
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;18-24;7451
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;25-34;15010
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;35-44;9242
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;45-54;6503
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;55-64;3301
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;<18;23979
202002;JO;Inconnue;Kinshasa;Outside_Resident;Activity_Zone_Worker;>65;1822
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Outside_Worker;18-24;43
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Outside_Worker;25-34;345
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Outside_Worker;35-44;135
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Outside_Worker;<18;550
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;18-24;9289
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;25-34;19689
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;35-44;11508
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;45-54;7889
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;55-64;3669
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;<18;30487
202002;JO;Inconnue;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;>65;1691
202002;JO;Inconnue;Kongo-Central;4;4;18-24;544
202002;JO;Inconnue;Kongo-Central;4;4;25-34;1278
202002;JO;Inconnue;Kongo-Central;4;4;35-44;559
202002;JO;Inconnue;Kongo-Central;4;4;45-54;444
202002;JO;Inconnue;Kongo-Central;4;4;55-64;183
202002;JO;Inconnue;Kongo-Central;4;4;<18;1920
202002;JO;Inconnue;Kongo-Central;4;Outside_Worker;<18;21
202002;JO;Inconnue;Kongo-Central;4;Activity_Zone_Worker;18-24;86
202002;JO;Inconnue;Kongo-Central;4;Activity_Zone_Worker;25-34;430
202002;JO;Inconnue;Kongo-Central;4;Activity_Zone_Worker;35-44;160
202002;JO;Inconnue;Kongo-Central;4;Activity_Zone_Worker;45-54;120
202002;JO;Inconnue;Kongo-Central;4;Activity_Zone_Worker;<18;940
202002;JO;Inconnue;Kongo-Central;Outside_Resident;4;25-34;209
202002;JO;Inconnue;Kongo-Central;Outside_Resident;4;35-44;158
202002;JO;Inconnue;Kongo-Central;Outside_Resident;4;45-54;82
202002;JO;Inconnue;Kongo-Central;Outside_Resident;4;<18;481
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;18-24;27808
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;25-34;44053
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;35-44;24737
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;45-54;15472
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;55-64;7778
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;<18;73415
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Outside_Worker;>65;3670
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;18-24;26896
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;25-34;44298
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;35-44;27303
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;45-54;18635
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;55-64;9394
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;<18;70645
202002;JO;Inconnue;Kongo-Central;Outside_Resident;Activity_Zone_Worker;>65;4999
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;4;<18;46
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Outside_Worker;18-24;1258
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Outside_Worker;25-34;1982
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Outside_Worker;35-44;1183
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Outside_Worker;45-54;716
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Outside_Worker;55-64;204
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Outside_Worker;<18;2964
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;18-24;62265
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;25-34;106716
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;35-44;66998
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;45-54;46029
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;55-64;20692
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;<18;184295
202002;JO;Inconnue;Kongo-Central;Activity_Zone_Resident;Activity_Zone_Worker;>65;9356
202002;JO;Inconnue;Kwango;4;4;18-24;38
202002;JO;Inconnue;Kwango;Outside_Resident;Outside_Worker;18-24;72
202002;JO;Inconnue;Kwango;Outside_Resident;Outside_Worker;25-34;142
202002;JO;Inconnue;Kwango;Outside_Resident;Outside_Worker;35-44;43
202002;JO;Inconnue;Kwango;Outside_Resident;Outside_Worker;<18;148
202002;JO;Inconnue;Kwango;Outside_Resident;Activity_Zone_Worker;18-24;52
202002;JO;Inconnue;Kwango;Outside_Resident;Activity_Zone_Worker;25-34;116
202002;JO;Inconnue;Kwango;Outside_Resident;Activity_Zone_Worker;<18;146
